start,end,n_hours,drop_mm,slope_median
2025-06-17 06:00:00,2025-06-17 12:00:00,7,8.0,-0.788
2025-06-21 18:00:00,2025-06-22 15:00:00,20,3.505,-0.345
2025-06-28 12:00:00,2025-06-28 18:00:00,7,3.221,-1.582
2025-06-29 09:00:00,2025-06-29 23:00:00,14,10.307,-0.758
2025-07-04 05:00:00,2025-07-04 10:00:00,6,6.682,-1.631
2025-07-06 05:00:00,2025-07-07 04:00:00,24,11.601,-0.373
2025-07-08 10:00:00,2025-07-09 08:00:00,23,5.814,-0.279
2025-07-11 11:00:00,2025-07-12 07:00:00,20,10.262,-0.536
2025-07-14 08:00:00,2025-07-15 01:00:00,18,12.821,-0.785
2025-07-17 06:00:00,2025-07-18 03:00:00,21,8.106,-0.342
2025-07-19 04:00:00,2025-07-19 22:00:00,19,12.506,-0.604
