device,event_count,min_rate,max_rate,mean_rate,median_rate,std_rate
157B025010006,2,0.33783333333333326,0.4200000000000001,0.3789166666666667,0.3789166666666667,0.058100607187494775
157B025010017,3,0.4083333333333334,0.8983333333333333,0.7319166666666667,0.8890833333333333,0.28026955031421685
157B025010025,2,0.22916666666666674,0.36108333333333337,0.2951250000000001,0.2951250000000001,0.09327916955152536
157B025010028,5,0.2568333333333333,0.4761666666666667,0.37538333333333335,0.37658333333333344,0.08482884320140698
157B025010050,7,0.2673333333333335,1.0483333333333333,0.5295059523809524,0.4336666666666667,0.2744967685464809
157B025010054,3,0.2763333333333333,0.2965,0.28705555555555556,0.28833333333333333,0.010143872443408787
157B025030003,5,0.20833333333333334,0.33383333333333337,0.2804166666666667,0.2833333333333334,0.048420825983133436
157B025030005,3,0.23724999999999996,0.5724166666666667,0.46044444444444443,0.5716666666666667,0.19329242263510527
157B025030008,3,0.22225000000000003,0.6625,0.37375,0.23650000000000002,0.25016631967553105
157B025030009,5,0.43283333333333335,1.3567500000000001,0.8162499999999999,0.4839166666666667,0.4847681110879487
157B025030014,5,0.21641666666666667,0.375,0.25926666666666665,0.23933333333333331,0.06567299567638979
157B025030023,7,0.21883333333333335,0.7436666666666666,0.4195238095238096,0.3151666666666666,0.1862074877798715
157B025030025,1,0.34016666666666673,0.34016666666666673,0.34016666666666673,0.34016666666666673,
157B025030026,4,0.20866666666666667,0.45733333333333337,0.35837499999999994,0.3837499999999999,0.11110825343547384
157B025030027,2,0.6531666666666667,0.9014166666666666,0.7772916666666667,0.7772916666666667,0.1755392584295604
157B025030029,3,0.255,1.0539166666666666,0.5422222222222223,0.31775000000000003,0.44424969778434453
157B025030031,2,0.2500833333333333,0.37325,0.31166666666666665,0.31166666666666665,0.08709198521614313
157B025030032,11,0.229,0.8256666666666667,0.48203030303030303,0.43283333333333335,0.1857924068263917
157B025030033,4,0.21724999999999997,0.6963333333333334,0.38460416666666664,0.3124166666666667,0.2135776527943599
157B025030034,2,0.32841666666666663,0.3403333333333334,0.334375,0.334375,0.008426355809139745
157B025030037,1,0.247,0.247,0.247,0.247,
157B025030039,9,0.20958333333333334,1.0381666666666667,0.38766666666666666,0.32108333333333333,0.2531259362122605
157B025030042,8,0.212,0.4394166666666666,0.29797916666666674,0.27175000000000005,0.08964161171904095
157B025030044,8,0.20966666666666658,0.7161666666666666,0.38793749999999994,0.36487499999999995,0.17457553823943173
157B025030046,2,0.33958333333333335,0.7984166666666667,0.569,0.569,0.32444416143442756
157B025030047,5,0.20941666666666667,0.39925000000000005,0.2954333333333333,0.2625,0.08880298496609722
157B025030068,4,0.2591666666666666,0.7351666666666666,0.4970833333333333,0.497,0.2542237549730406
157B025030076,2,0.2741666666666667,0.5455833333333332,0.409875,0.409875,0.19192056552704864
157B025030077,4,0.25691666666666674,0.3094166666666667,0.27627083333333335,0.26937500000000003,0.02287348203828081
157B025030085,1,0.8833333333333333,0.8833333333333333,0.8833333333333333,0.8833333333333333,
157B025030087,15,0.22966666666666666,0.8855833333333334,0.4784555555555556,0.48866666666666664,0.19526473397922842
157B025030091,3,0.2588333333333333,0.4984166666666667,0.33969444444444447,0.2618333333333333,0.13746566069520916
157B025030093,1,0.2755,0.2755,0.2755,0.2755,
